City,State,Total_Booking_Requests,Active_Listings,Booking_Requests_Last_6_Months,Booking_Requests_Last_12_Months,Booking_Requests_Before_2023,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10
Stephentown,New York,46,3.0,9,14,10.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,4.0,8.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0
Saint Hedwig,Texas,3,3.0,3,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Saint George,Maine,8,3.0,8,8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0
Saint Croix Falls,Wisconsin,10,3.0,8,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,0.0
Springfield,Kentucky,5,3.0,1,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Bonners Ferry,Idaho,16,3.0,1,4,,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Stockbridge,Vermont,22,3.0,14,21,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,5.0,7.0,0.0,1.0,1.0
Stockton,Illinois,10,3.0,6,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0
Stokesdale,North Carolina,21,3.0,4,12,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
Saint Charles,Illinois,49,3.0,5,12,11.0,1.0,4.0,3.0,6.0,1.0,2.0,3.0,5.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0
