Date,Source,Medium,Campaign,Device,Sessions,TotalUsers,NewUsers,FF_Purchase_Event_Count,FF_Lead_Event_Count,FF_BRSubmit_Event_Count,FF_DMSubmit_Event_Count,FF_PhoneGet_Event_Count,FF_HRSubmit_Event_Count,HR_Submit_Event_New_Traveler_Lead_Count,Impressions,Impression_population,Clicks,Cost,Total Traveler Actions,Traveler Value,Landlord Value,Channel_Group
20240810,google,cpc,Display - Prospecting,desktop,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240810,google,cpc,Display - Prospecting,mobile,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240810,google,cpc,Display - Retargeting,desktop,0,0,0,0,13,0,0,0,1,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240810,google,cpc,Display - Retargeting,mobile,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240811,google,cpc,Display - Prospecting,desktop,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240811,google,cpc,Display - Prospecting,mobile,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240811,google,cpc,Display - Retargeting,desktop,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240811,google,cpc,Display - Retargeting,mobile,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240812,google,cpc,Display - Prospecting,desktop,0,0,0,0,9,0,0,0,1,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240812,google,cpc,Display - Retargeting,desktop,0,0,0,0,7,0,0,1,0,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240813,google,cpc,Display - Prospecting,desktop,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
